Cheese Board,2000,,667,35,"=HYPERLINK(""https://codeforces.com/contest/952/problem/E"", ""952E"")"\r
Area of Two Circles' Intersection,2000,geometry,2538,63,"=HYPERLINK(""https://codeforces.com/contest/600/problem/D"", ""600D"")"\r
Olympic Games,2500,math,171,97,"=HYPERLINK(""https://codeforces.com/contest/401/problem/E"", ""401E"")"\r
Sum of Digits,2200,"brute force, constructive algorithms, dp, greedy",2861,129,"=HYPERLINK(""https://codeforces.com/contest/1373/problem/E"", ""1373E"")"\r
Product Oriented Recurrence,2300,"dp, math, matrices, number theory",3079,129,"=HYPERLINK(""https://codeforces.com/contest/1182/problem/E"", ""1182E"")"\r
Ehab the Xorcist,1700,"bitmasks, constructive algorithms, greedy, number theory",12878,130,"=HYPERLINK(""https://codeforces.com/contest/1325/problem/D"", ""1325D"")"\r
Zigzags,1900,"brute force, combinatorics, data structures, math, two pointers",10948,132,"=HYPERLINK(""https://codeforces.com/contest/1400/problem/D"", ""1400D"")"\r
XOR Equation,1700,"dp, math",4455,133,"=HYPERLINK(""https://codeforces.com/contest/627/problem/A"", ""627A"")"\r
Find a Number,2200,"dp, graphs, number theory, shortest paths",2484,136,"=HYPERLINK(""https://codeforces.com/contest/1070/problem/A"", ""1070A"")"\r
Maximum Sine,2700,"binary search, data structures, number theory",374,138,"=HYPERLINK(""https://codeforces.com/contest/1182/problem/F"", ""1182F"")"\r
Nested Segments,1800,"data structures, sortings",4386,143,"=HYPERLINK(""https://codeforces.com/contest/652/problem/D"", ""652D"")"\r
D-Function,1600,"combinatorics, math, number theory",11174,146,"=HYPERLINK(""https://codeforces.com/contest/1985/problem/G"", ""1985G"")"\r
Row GCD,1600,"math, number theory",22149,153,"=HYPERLINK(""https://codeforces.com/contest/1458/problem/A"", ""1458A"")"\r
Congruence Equation,2100,"chinese remainder theorem, math, number theory",2304,158,"=HYPERLINK(""https://codeforces.com/contest/919/problem/E"", ""919E"")"\r
The BOSS Can Count Pairs,2000,"brute force, math",5437,159,"=HYPERLINK(""https://codeforces.com/contest/1830/problem/B"", ""1830B"")"\r
Maximum Value,2100,"binary search, math, sortings, two pointers",7379,160,"=HYPERLINK(""https://codeforces.com/contest/484/problem/B"", ""484B"")"\r
The Classic Problem,3000,"data structures, graphs, shortest paths",1691,161,"=HYPERLINK(""https://codeforces.com/contest/464/problem/E"", ""464E"")"\r
Almost Difference,2200,"data structures, math",4156,164,"=HYPERLINK(""https://codeforces.com/contest/903/problem/D"", ""903D"")"\r
Divisibility,1600,math,4733,169,"=HYPERLINK(""https://codeforces.com/contest/597/problem/A"", ""597A"")"\r
Same GCDs,1800,"math, number theory",9615,172,"=HYPERLINK(""https://codeforces.com/contest/1295/problem/D"", ""1295D"")"\r
Sad powers,2100,"binary search, math, number theory",2819,173,"=HYPERLINK(""https://codeforces.com/contest/955/problem/C"", ""955C"")"\r
Subsequences,1900,"data structures, dp",5941,173,"=HYPERLINK(""https://codeforces.com/contest/597/problem/C"", ""597C"")"\r
Number of Parallelograms,1900,geometry,4385,175,"=HYPERLINK(""https://codeforces.com/contest/660/problem/D"", ""660D"")"\r
Power Products,1800,"hashing, math, number theory",9150,176,"=HYPERLINK(""https://codeforces.com/contest/1225/problem/D"", ""1225D"")"\r
Two Arithmetic Progressions,2500,"math, number theory",1582,176,"=HYPERLINK(""https://codeforces.com/contest/710/problem/D"", ""710D"")"\r
Polygon,2300,"constructive algorithms, geometry",306,177,"=HYPERLINK(""https://codeforces.com/contest/306/problem/D"", ""306D"")"\r
Strange Function,1600,"math, number theory",15298,178,"=HYPERLINK(""https://codeforces.com/contest/1542/problem/C"", ""1542C"")"\r
Heidi and Library (medium),1800,"data structures, greedy",1220,178,"=HYPERLINK(""https://codeforces.com/contest/802/problem/B"", ""802B"")"\r
Not Equal on a Segment,1700,"data structures, implementation",7190,181,"=HYPERLINK(""https://codeforces.com/contest/622/problem/C"", ""622C"")"\r
Mod Mod Mod,3000,"binary search, dp, math",635,182,"=HYPERLINK(""https://codeforces.com/contest/889/problem/E"", ""889E"")"\r
Count Pairs,2300,"math, matrices, number theory, two pointers",4890,185,"=HYPERLINK(""https://codeforces.com/contest/1188/problem/B"", ""1188B"")"\r
Edge coloring of bipartite graph,2800,graphs,1009,185,"=HYPERLINK(""https://codeforces.com/contest/600/problem/F"", ""600F"")"\r
New Year and Original Order,2800,"dp, math",1516,187,"=HYPERLINK(""https://codeforces.com/contest/908/problem/G"", ""908G"")"\r
Cobb,1700,"bitmasks, brute force, greedy, math",13345,191,"=HYPERLINK(""https://codeforces.com/contest/1554/problem/B"", ""1554B"")"\r
Iterated Linear Function,1700,"math, number theory",4849,191,"=HYPERLINK(""https://codeforces.com/contest/678/problem/D"", ""678D"")"\r
The Shortest Statement,2400,"graphs, shortest paths, trees",3337,198,"=HYPERLINK(""https://codeforces.com/contest/1051/problem/F"", ""1051F"")"\r
Modulo Sum,1900,"combinatorics, data structures, dp, two pointers",13520,198,"=HYPERLINK(""https://codeforces.com/contest/577/problem/B"", ""577B"")"\r
Short Task,1700,"brute force, dp, math, number theory",8869,200,"=HYPERLINK(""https://codeforces.com/contest/1512/problem/G"", ""1512G"")"\r
Short Permutation Problem,1900,"combinatorics, dp, fft, math",146,203,"=HYPERLINK(""https://codeforces.com/contest/1909/problem/I"", ""1909I"")"\r
Prefix Product Sequence,2300,"constructive algorithms, math, number theory",2930,205,"=HYPERLINK(""https://codeforces.com/contest/487/problem/C"", ""487C"")"\r
Max GEQ Sum,1800,"binary search, constructive algorithms, data structures, divide and conquer, implementation, two pointers",6690,206,"=HYPERLINK(""https://codeforces.com/contest/1691/problem/D"", ""1691D"")"\r
Team Work,2400,"combinatorics, dp, math",3165,206,"=HYPERLINK(""https://codeforces.com/contest/932/problem/E"", ""932E"")"\r
Continued Fractions,1700,"brute force, implementation, math",2205,206,"=HYPERLINK(""https://codeforces.com/contest/305/problem/B"", ""305B"")"\r
Sum Over Subsets,2800,"combinatorics, math, number theory",574,209,"=HYPERLINK(""https://codeforces.com/contest/1436/problem/F"", ""1436F"")"\r
Marmots (medium),2200,math,285,209,"=HYPERLINK(""https://codeforces.com/contest/802/problem/E"", ""802E"")"\r
A BIT of an Inequality,1900,"bitmasks, brute force, dp, math",5251,211,"=HYPERLINK(""https://codeforces.com/contest/1957/problem/D"", ""1957D"")"\r
Once Again...,1900,"constructive algorithms, dp, matrices",3533,211,"=HYPERLINK(""https://codeforces.com/contest/582/problem/B"", ""582B"")"\r
Maximum Sum of Products,1600,"brute force, dp, implementation, math, two pointers",16394,217,"=HYPERLINK(""https://codeforces.com/contest/1519/problem/D"", ""1519D"")"\r
Permutation Counting,2700,"brute force, combinatorics, dp, fft, math",371,218,"=HYPERLINK(""https://codeforces.com/contest/1671/problem/F"", ""1671F"")"\r
Minimum Modular,2400,"brute force, graphs, math, number theory",932,219,"=HYPERLINK(""https://codeforces.com/contest/303/problem/C"", ""303C"")"\r
Permutations,1800,"bitmasks, divide and conquer, math",2880,220,"=HYPERLINK(""https://codeforces.com/contest/513/problem/B2"", ""513B2"")"\r
